CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase
12347,5,382.52,711.79,558.172,2790.86,32.40828992,33.94831701,14.52455516,8.676178669,10.44265925,59,297
12348,4,227.44,892.8,449.31,1797.24,0,61.98393092,0,0,38.01606908,5,288
12350,1,334.4,334.4,334.4,334.4,0,60.40669856,27.9007177,0,11.69258373,240,240
12352,6,144.35,840.3,345.6633333,2073.98,15.71133762,66.12551712,3.37033144,14.3010058,0.491808021,2,226
12353,1,89,89,89,89,0,57.75280899,19.88764045,22.35955056,0,134,134
12354,1,1079.4,1079.4,1079.4,1079.4,19.70075968,38.2870113,10.82545859,16.23587178,14.95089865,162,162
12355,1,459.4,459.4,459.4,459.4,25.27209404,63.16935133,11.55855464,0,0,144,144
12356,2,481.46,2271.62,1376.54,2753.08,7.40988275,51.82377555,12.85469365,13.46419283,14.44745521,175,255
12358,1,484.86,484.86,484.86,484.86,3.093676525,26.9686095,3.6505383,66.28717568,0,80,80
12359,3,547.5,1803.11,1153.31,3459.93,14.93671837,43.16850341,11.41352571,26.25342131,4.227831199,119,261
12360,2,534.7,1083.58,809.14,1618.28,9.429764936,56.01008478,24.40615963,0,10.15399066,42,130
12361,1,189.9,189.9,189.9,189.9,0,81.35860979,18.64139021,0,0,217,217
12362,5,303.76,829.99,510.908,2554.54,19.08758524,48.27092157,20.27762337,6.576526498,5.787343318,2,225
12363,2,252.9,299.1,276,552,5.380434783,37.5,30.54347826,8.641304348,17.93478261,39,172
12364,2,79.8,623.92,351.86,703.72,4.923833343,53.67191497,4.611209004,0,36.79304269,8,42
12365,2,320.69,320.69,320.69,641.38,7.717733637,74.93841404,16.55804671,0,0.785805607,221,221
12370,3,277.2,1590.82,935.47,2806.41,18.54148182,32.45676861,24.76473502,8.118913487,16.11810106,204,290
12372,3,383.12,515.7,432.68,1298.04,8.528242581,54.42821485,19.80678562,6.124618656,11.1121383,1,226
12373,1,364.6,364.6,364.6,364.6,4.854635217,34.50356555,46.65386725,0,13.98793198,241,241
12375,1,230.3,230.3,230.3,230.3,21.62396874,17.36864959,36.12679114,13.80807642,11.07251411,28,28
12377,2,626.6,1001.52,814.06,1628.12,29.09490701,32.57130924,19.40274673,6.651843844,12.27919318,245,284
12378,1,4008.62,4008.62,4008.62,4008.62,15.70490593,34.34249193,22.231092,12.64150755,15.08000259,59,59
12379,2,392.4,457.89,425.145,850.29,11.90182173,41.28591422,28.10100084,8.961648379,9.749614837,11,100
12380,2,607.55,626.01,616.78,1233.56,11.3735854,30.3511787,44.60747754,6.615000486,7.052757872,8,115
12381,1,1227.39,1227.39,1227.39,1227.39,11.73221226,45.23419614,22.14536537,12.43288604,8.455340193,49,49
12383,5,99.45,639.91,367.862,1839.31,11.49072206,46.21461309,8.106300732,8.408044321,25.78031979,114,282
12384,1,273.58,273.58,273.58,273.58,17.21617077,43.22318883,12.93954236,24.80078953,1.820308502,51,51
12386,2,143,258.9,200.95,401.9,0,43.4436427,4.404080617,24.48370241,27.66857427,267,296
12388,5,124.05,902.09,498.852,2494.26,31.50673947,23.44182242,22.33728641,9.122946285,13.59120541,5,256
12390,1,549.84,549.84,549.84,549.84,23.37043504,33.66433872,11.02138804,10.83951695,21.10432126,9,9
12393,4,177,521.5,395.65,1582.6,28.41842538,49.43131556,18.25477063,0.938329331,2.957159105,2,262
12394,1,381.08,381.08,381.08,381.08,17.42416291,69.14033799,4.644694028,5.22200063,3.568804451,147,147
12395,8,149.97,346.1,235.22125,1881.77,11.75489034,29.66887558,16.63061904,2.74741334,39.19820169,42,301
12397,1,1214.81,1214.81,1214.81,1214.81,15.54564088,52.37032952,11.54254575,7.20277245,13.3387114,65,65
12399,4,130.08,480.9,277.1625,1108.65,4.018400758,43.24178054,6.788436387,0,45.95138231,49,191
12401,1,84.3,84.3,84.3,84.3,17.79359431,61.03202847,0,21.17437722,0,233,233
12402,1,225.6,225.6,225.6,225.6,0,41.88829787,58.11170213,0,0,253,253
12405,1,1710.39,1710.39,1710.39,1710.39,17.87311666,27.82757149,20.73269839,21.07121768,12.49539579,78,78
12406,1,1486.7,1486.7,1486.7,1486.7,29.00383399,34.70639672,26.30927558,4.540256945,5.440236766,113,113
12407,4,192.34,719.06,351.84,1407.36,7.30090382,48.4289734,8.044849932,11.57486357,24.65040928,64,194
